FilmID	ReviewID	SentenceID	Sentence	Annotator 1	Annotator 2	Annotator 3	Annotator 4	Annotator 5	Annotator 6	
1	1	1	prošla filmska godina, posebice kada su u pitanju horori, bila je iznimno bogata i kvalitetna.	0	0	0	0	0	0	
3	1	40	nedavno je imao dosta zanimljiv, mada kratak, nastup u fargu, ali stvarna bol je film koji ga je definitivno zacementirao kao samostalno glumačko ime i film koji će mu najvjerojatnije donijeti i oscara (bilo bi pravo čudo da ga ne dobije, pogotovo jer mu je jedina stvarna konkurencija jura borisov iz anore, ali culkin je ipak karizmatičniji u ovom filmu, iako ne nužno i bolji).	0	0	0	0	0	0		
3	1	41	benji kaplan je lik koji vas naprosto grabi i ne pušta.	0	0	0	0	0	0		
3	1	42	iako se možda – vjerojatno – nećete slagati s njim svo vrijeme, dapače, njegovo će vam indolentno i na momente sebično ponašanje vjerojatno ići na živce, shvatit ćete da nije loša osoba, da nije enfant terrible kakav često ispada, već da ga samo jako, jako boli.	3	3	3	3	3	3		
3	1	43	suosjećanje koje izaziva, kao i emocije koje tako iskreno, nekada i nekontrolirano (čak i neprimjereno) dijelu vjerojatno su najljepši aspekt ovoga filma upravo zato što su tako sirove i nerafinirane.	0	0	0	0	0	0		
3	1	44	benji je bez ikakvih filtera, iskren i originalan, on je duša ovoga filma i zato je on bez imalo sumnje njegov najbolji dio.	0	0	0	0	0	0		
3	1	45	i sada, kada smo nahvalili one dijelove koji su bili stvarno izvrsni, treba istaknuti ono što u filmu nije dobro.	1	1	1	1	1	1		
3	1	46	i dok smo slojevitost nahvalili na početku, upravo je ta slojevitost najveći problem ovoga filma jer nije najbolje razrađena.	2	2	2	2	2	2		
3	1	47	kada uzmete u obzir cijelu priču, ona otvara cijelu seriju tema i odnosa, a kroz to se ogledaju problemi osobne, univerzalne i egzistencijalne prirode koji more davida i benjija.	1	1	1	1	1	1		
3	1	48	međutim, a to je najveći manjak ovoga filma, mi – nažalost – dobijemo samo mrvice.	2	2	2	2	2	2		
3	1	49	da se razumijemo, sve je potpuno jasno, film ne ostavlja otvorena pitanja i nije nerazrađen, ali za svaki sloj koji ima daje nam taman toliko da zadovolji nekakav osnovni naratološki minimum da sloj kao takav, odnosno da dramski problem kao takav ima smisla.	2	2	2	3	3	2		
3	1	50	tako o benjijevoj prošlosti saznamo tek toliko da njegovo sadašnje ponašanje ima smisla.	2	2	2	2	2	2		
3	1	51	tako o odnosu davida i benjija u djetinjstvu saznajemo tek toliko da se pojasni zašto među njima postoje tenzije u sadašnjosti.	2	2	2	2	2	2		
3	1	52	tako o holokaustu saznajemo tek toliko da benjijeve suze imaju smisla.	2	2	2	2	2	2		
3	1	53	i tako dalje.	2	2	2	1	2	2		
3	1	54	sve ima smisla, sve je zaokružena cjelina, ali ništa nema dubine.	2	2	2	3	3	2		
3	1	55	odnosno, ima dubine – sve su to vrlo složene teme i problemi – ali izostaje dubinska analiza problema i izostaju činjenice koje bi obogatile naše iskustvo filma.	2	2	2	2	2	2		
3	1	56	i to je njegov najveći problem.	2	2	2	2	2	2		
3	1	57	film traje oko sat i pol – relativno je kratak – i eisenberg je napravio odličan presjek svih problema, ali trebao je ili dodati nekih pola sata da bi dao tim pričama i slojevima malo debljine, ili je pak trebao smanjiti broj slojeva.	3	3	3	3	3	2		
3	1	58	gledajući film kao cjelinu, prva solucija čini nam se prihvatljivijom.	1	1	1	1	1	1		
3	1	59	nije ovo neka značajna mana, ne čini ovo film lošim, ali čini to da smo kao gledatelji ostali zakinuti za neke bitne elemente u kojima smo mogli uživati i koji su film mogli dići na još jednu razinu više.	3	3	3	3	3	2		
3	1	60	ovako ostaje dojam da je film malo prerazvikan – iako on to nije, ali svakako se pitate jeste li nešto propustili.	2	2	2	2	2	2		
3	1	61	stvarna bol doista jest film o boli.	1	1	1	1	1	1		
3	1	62	o individualnoj boli, o kolektivnoj boli, o civilizacijskoj boli… eisenberg je na više razina kvalitetno prezentirao svoj film i na tome mu doista treba čestitati.	0	0	0	0	0	0		
3	1	63	nažalost, izostala je nešto detaljnija realizacija same ideje koja bi film podigla na još jednu višu razinu.	2	2	2	2	2	2		
3	1	64	ni ovako nas film ne ostavlja zbunjenima, srećom, ali ostaje dojam da smo trebali dobiti više.	2	2	2	2	2	2		
3	1	65	bol je u ovom filmu stvarna, ali mi to ne vidimo u onoj mjeri u kojoj smo ju trebali vidjeti.	2	2	2	2	2	2		
3	1	66	tako da ona zapravo nije toliko stvarna koliko je trebala biti, iako je očita i prisutna.	2	2	2	2	2	2		
3	1	67	šteta, ali neovisno o tome, stvarna bol prilično je zabavno, neobično i simpatično iskustvo koje, gledajući ostale filmove koji su obilježili prošlo godinu, figurira kao jedno istinski osvježavajuće iskustvo koje se isplati doživjeti.	0	0	0	0	0	0		
